2026-02-24 14:49:40,581 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 43.4, цена: 10051922, старая цена: , корпус: Б, этаж: 26, отделка: Предчистовая
2026-02-24 14:49:40,583 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10071234, старая цена: , корпус: Б, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:40,583 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.3, цена: 10076734, старая цена: , корпус: А, этаж: 13, отделка: Предчистовая
2026-02-24 14:49:44,785 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:44,801 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10098978, старая цена: , корпус: Б, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:44,801 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 44.0, цена: 10110222, старая цена: , корпус: А, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:44,802 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10126722, старая цена: , корпус: Б, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:44,802 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.3, цена: 10132100, старая цена: , корпус: А, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:44,802 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10154466, старая цена: , корпус: Б, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:44,803 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10182212, старая цена: , корпус: Б, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:44,803 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10187956, старая цена: , корпус: Б, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:44,804 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 46.8, цена: 10210200, старая цена: , корпус: Б, этаж: 12, отделка: Предчистовая
2026-02-24 14:49:44,804 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10215944, старая цена: , корпус: Б, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:44,811 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.7, цена: 10221566, старая цена: , корпус: Б, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:44,811 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10243934, старая цена: , корпус: Б, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:44,811 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.7, цена: 10249494, старая цена: , корпус: Б, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:44,812 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10271922, старая цена: , корпус: Б, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:44,812 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.7, цена: 10277422, старая цена: , корпус: А, этаж: 17, отделка: Предчистовая
2026-02-24 14:49:44,812 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10293188, старая цена: , корпус: Б, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:44,812 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.8, цена: 10299912, старая цена: , корпус: А, этаж: 15, отделка: Предчистовая
2026-02-24 14:49:44,812 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10319284, старая цена: , корпус: Б, этаж: 13, отделка: Предчистовая
2026-02-24 14:49:44,827 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.4, цена: 10348678, старая цена: , корпус: Б, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:44,827 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.7, цена: 10361206, старая цена: , корпус: Б, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:44,827 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10383878, старая цена: , корпус: Б, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:44,827 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 55.7, цена: 10389860, старая цена: 10936695, корпус: 1.2, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:44,828 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 55.7, цена: 10389860, старая цена: 10936695, корпус: 1.2, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:44,828 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 45.7, цена: 10417062, старая цена: , корпус: Б, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:44,828 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 55.7, цена: 10417641, старая цена: 10965938, корпус: 1.2, этаж: 10, отделка: Предчистовая
2026-02-24 14:49:49,538 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:49,557 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10434906, старая цена: , корпус: Б, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:49,557 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 43.9, цена: 10436006, старая цена: , корпус: Б, этаж: 26, отделка: Предчистовая
2026-02-24 14:49:49,557 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 45.8, цена: 10439856, старая цена: , корпус: Б, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:49,558 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 55.7, цена: 10445421, старая цена: 10995180, корпус: 1.2, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:49,558 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 2, площадь: 55.7, цена: 10445421, старая цена: 10995180, корпус: 1.2, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:49,559 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10550528, старая цена: , корпус: Б, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:49,559 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10579434, старая цена: , корпус: Б, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:49,559 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10608338, старая цена: , корпус: Б, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:49,560 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10637244, старая цена: , корпус: А, этаж: 13, отделка: Предчистовая
2026-02-24 14:49:49,560 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10637244, старая цена: , корпус: Б, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:49,561 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10666150, старая цена: , корпус: Б, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:49,561 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10666150, старая цена: , корпус: Б, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:49,561 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10781772, старая цена: , корпус: Б, этаж: 24, отделка: Предчистовая
2026-02-24 14:49:49,561 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 1, площадь: 47.3, цена: 10839584, старая цена: , корпус: Б, этаж: 25, отделка: Предчистовая
2026-02-24 14:49:49,561 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 48.6, цена: 10929600, старая цена: , корпус: А, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:49,562 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.1, цена: 10995600, старая цена: , корпус: 1, этаж: 6, отделка: Предчистовая
2026-02-24 14:49:49,562 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.1, цена: 11107800, старая цена: , корпус: 1, этаж: 8, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11183800, старая цена: , корпус: 1, этаж: 13, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11183800, старая цена: , корпус: 1, этаж: 12, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11296200, старая цена: , корпус: 1, этаж: 16, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11296200, старая цена: , корпус: 1, этаж: 15, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11296200, старая цена: , корпус: 1, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:49,576 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11324300, старая цена: , корпус: 1, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:49,577 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11352400, старая цена: , корпус: 1, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,890 | INFO | Профи Инвест.py | 200
2026-02-24 14:49:50,921 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11352400, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,922 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11380500, старая цена: , корпус: 1, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:50,922 | INFO | Профи Инвест.py | 7 небо, , дата: 2026-02-24, кол-во комнат: 2, площадь: 51.6, цена: 11383534, старая цена: , корпус: А, этаж: 14, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 0, площадь: 57.3, цена: 11402700, старая цена: , корпус: 2, этаж: 2, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 0, площадь: 57.3, цена: 11460000, старая цена: , корпус: 2, этаж: 3, отделка: Предчистовая
2026-02-24 14:49:50,923 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11464800, старая цена: , корпус: 1, этаж: 23, отделка: Предчистовая
2026-02-24 14:49:50,924 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 56.2, цена: 11464800, старая цена: , корпус: 1, этаж: 22, отделка: Предчистовая
2026-02-24 14:49:50,924 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11466900, старая цена: , корпус: 1, этаж: 18, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11494800, старая цена: , корпус: 1, этаж: 20, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Фабрикант, , дата: 2026-02-24, кол-во комнат: 3, площадь: 55.8, цена: 11494800, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 19, отделка: Предчистовая
2026-02-24 14:49:50,929 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 21, отделка: Предчистовая
2026-02-24 14:49:50,930 | INFO | Профи Инвест.py | Дом на Студенческом, , дата: 2026-02-24, кол-во комнат: 2, площадь: 57.5, цена: 11500000, старая цена: , корпус: 1, этаж: 22, отделка: Предчистовая
